Come quickly!	Przyjdź szybko!
Who contributed?	Kto brał udział?
I suspect that Tom cheated on the test.	Podejrzewam, że Tom ściągał na teście.
Please keep it a secret.	Proszę, zachowaj to w tajemnicy.
There is a hole in your sock.	Masz dziurę w skarpetce.
I slept like a log.	Spałem jak suseł.
Let's go and watch the Easter parade.	Chodźmy zobaczyć pochód wielkanocny.
Tom whispered.	Tom szeptał.
He's busy, so he can't meet you.	Jest zajęty, więc nie może się z Tobą spotkać.
I couldn't bring myself to see the horror movie again.	Nie mogłem się zdobyć na to, aby zobaczyć ten horror jeszcze raz.
It's really not that hot.	Nie jest aż tak gorąco.
I'm with Tom.	Jestem z Tomem.
Be quiet and behave!	Bądź cicho i zachowuj się!
Tom didn't remember asking Mary for help.	Tom nie pamiętał, żeby poprosić Mary o pomoc.
I slept.	Spałam.
How long do spiders live?	Jak długo żyją pająki?
I'm gullible.	Jestem łatwowierny.
Let me do it my way.	Pozwól mi to zrobić po mojemu.
Learning is one thing, and common sense another.	Jedna sprawa to nauka, a druga zdrowy rozsądek.
Speak to me.	Mów do mnie.
Do you like your new house?	Czy lubisz swój nowy dom?
Tom didn't tell us everything.	Tom nie powiedział nam wszystkiego.
She has to go shopping in the afternoon.	Ona musi iść na zakupy po południu.
Time heals all wounds.	Czas leczy rany.
I have no further questions.	Nie mam więcej pytań.
I'm here to make sure you do what you said you'd do.	Jestem tu, żeby się upewnić, czy robisz to co masz robić.
I'll stay in Boston for three months.	Zostanę w Bostonie na trzy miesiące.
Tom has bodyguards.	Tom ma ochroniarzy.
It is better to be a coward for five minutes than dead for the rest of your life.	Lepiej być tchórzem przez pięć minut niż być martwym przez resztę życia.
Tell Tom I'm tired.	Powiedz Tomowi, że próbowałem.
Do you need some money?	Potrzebujesz trochę pieniędzy?
Where's the nearest church?	Gdzie jest najbliższy kościół?
You look bored.	Wyglądasz na znudzoną.
I've always fed my dogs in the early evening.	Zawsze karmię psy wczesnym wieczorem.
I haven't yet seen the movie you're talking about.	Nie widziałem jeszcze filmu o którym rozmawiacie.
Please stop laughing.	Proszę, przestań się śmiać.
Tom came home earlier than Mary expected.	Tom wrócił do domu wcześniej, niż Mary się spodziewała.
We won't be hearing from Tom for quite some time.	Przez pewien czas Tom nie będzie się do nas odzywał.
Several candles were burning.	Paliło się kilka świec.
It fits perfectly.	Pasuje idealnie.
I'm starting to dislike her.	Zaczynam jej nie lubić.
He seems tired.	On wydaje się zmęczony.
I want you to stop this immediately.	Chcę, żebyś natychmiast przestał.
We've got enough space here.	Mamy tutaj wystarczająco dużo miejsca.
Tom doesn't have anything.	Tom nic nie ma.
We're home.	Jesteśmy w domu.
Tom has to do that.	Tom musi to zrobić.
Tom says you're good at tennis.	Tom mówi, że jesteś dobra w tenisa.
He is richer than anyone else in this town.	Jest bogatszy niż ktokolwiek inny w mieście.
Soccer is my favorite sport.	Piłka nożna to mój ulubiony sport.
Is everybody hungry?	Czy wszyscy są głodni?
I always drink a cup of coffee every morning.	Codziennie rano piję kawę.
This is a terrible tragedy.	To okropna tragedia.
We will never agree.	Nigdy się nie zgodzimy.
What are you getting at?	O co ci chodzi?
All you have to do is to take care of yourself.	Wszystko co musisz zrobić to zadbać o siebie.
It's starting to get light.	Zaczyna się rozwidniać.
If you had helped me, I could have accomplished the work.	Gdybyś mi pomógł, mógłbym wykonać pracę.
Tom made me look stupid.	Tom sprawił, że wyglądam głupio.
Tom opened the box and looked inside.	Tom otworzył pudełko i zajrzał do środka.
Tom says Mary is lying.	Tom twierdzi, że Mary kłamie.
I'm always ready to help you.	Zawsze jestem gotów ci pomóc.
Tom likes to knit.	Tom lubi robić na drutach.
Are you seriously thinking about getting a divorce?	Naprawdę chcesz się rozwieść?
Try to be concise.	Pisz zwięźle.
Every minute counted.	Liczyła się każda minuta.
Do you require our help?	Czy potrzebujesz naszej pomocy?
Luckily, the weather was good.	Na szczęście pogoda była ładna.
I am a tennis player.	Jestem tenisistą.
They left it under the table.	Zostawili to pod stołem.
He loves them.	On ich kocha.
I regret not being able to join you.	Żałuję, że nie jestem w stanie Tobie towarzyszyć.
I feel like we shouldn't be doing this.	Czuję, że nie powinniśmy tego robić.
You'll be able to play tennis better soon.	Niebawem będziesz lepiej grał w tenisa.
Aren't you ashamed?	Nie jesteś zawstydzony?
Have you read this article?	Czytałeś ten artykuł?
Tom doesn't look convinced.	Tom nie wygląda na przekonanego.
I thought you wouldn't notice that Tom wasn't here.	Myślałem, że nie zauważysz, że Toma tu nie ma.
I'm sleep-deprived.	Jestem niewyspana.
I thought you might be interested in knowing.	Pomyślałem, że możesz być zainstalowany tą informacją.
I have seen a UFO.	Widziałem UFO.
We were driven to the wall.	Byliśmy przyparci do muru.
Tom didn't have time to do his homework.	Tom nie miał czasu zrobić zadania domowego.
They live apart.	Mieszkają osobno.
Tom turned away from the window.	Tom odwrócił się od okna.
We need a new lamp.	Potrzebujemy nowej lampy.
Are you happy with your weight?	Czy jesteś zadowolony z tego, ile ważysz?
Tom has no idea who Mary's grandfather is.	Tom nie wie, kim jest dziadek Mary.
My leg hurts.	Boli mnie noga.
Prices have dropped recently.	Ostatnio ceny spadły.
You need to do this.	Musisz to zrobić.
Tom didn't know quite what to say.	Tom nie bardzo wiedział, co powiedzieć.
My mother and father aren't home right now.	W tej chwili matki i ojca nie ma w domu.
Tom heard that Mary got married.	Tom słyszał, że Mary wyszła za mąż.
